Vendor List,,,,,,,,,,,,,,,
Category,KW,Vendor name,ADDRESS,Date,Invoice no,HSN NO,item,Specification,Make,Unit ,Unit Rate,GST %,WITH GST,DISCOUNT PRICE,TOTAL
Inverter,3 KW,FESTA SOLAR PRIVATE LTD ,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600059",5/Nov/2025,FSCH/05771/25-26,85044090,HYBRID 3 KW INVERTER,3 Kw,DEYE,Nos,"65,000",5%,68250,,
DCDB,3 KW,FESTA SOLAR PRIVATE LTD ,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600059",5/Nov/2025,FSCH/05771/25-26,85362010,DCDB Box ,1 in 1 out 500 v,,Nos,"2,300",18%,2714,,
ACDB,3 KW,FESTA SOLAR PRIVATE LTD ,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600059",5/Nov/2025,FSCH/05771/25-26,85362010,ACDB Box,1 in 1 out 1Ph with Change Over,,Nos,"4,500",18%,5310,,
Battery ,3 KW,FESTA SOLAR PRIVATE LTD ,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600059",5/Nov/2025,FSCH/05771/25-26,85362010,Battery Box,with DC MCCB,,Nos,"4,500",18%,5310,,
STRUCTURE,,MG SOLAR SOLUTIONS,"No.63, Vanchinatan Street, Alwarthirunagar, Chennai - 600087",6/Nov/2025,MG-2025-26-150,730890,"2 X 3 High Raised Structure                  SSH 7ft. NSH 8ft                                       Leg 80x40x15x2 mm clip channel  Purlin 41x41x2 mm Unit Struct Channel,                                                Rafter 80x40x15x2 mm clip channel, Base Plate 150x150x6 mm,             Cross Bracing 40x3mm angle,   Accessories",3 Kw,,Set,"12,800",18%,15104,,
WIRE,,Best Insulation,"66, Somasundaram Mill Road, Coimbatore - 641009",7/Nov/2025,CR-13203/25-26,85446090,AC Cable,4 Sq.mm,RR,Mtr,93.54,18%,110,,
Electrical,,Matrix Electricals,"10 BKR Nagar, Sathy Main Road, Near Ashwin Hospital, Coimbatore - 641 012",14/Nov/2025,GST-11197/25-26,85369090,Cop Ring Skt Kook - 7135,35 Sq.mm * 10.2,,Nos,51.56,18%,61,,
ELECTRICAL,,,,,,,Cop Ring Skt Kook - 7135,50 Sq.mm * 10.2,,Nos,61.51,18%,73,,
BATTERY,5 KW,FESTA SOLAR PRIVATE LTD,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600059",12/Nov/2025,FSCH/05980/25-26,85076000,Lithium Battery,SE F5 Plus,DEYE,Nos,"71,381",18%,84230,,
Tools,,GR Agency,"13, Corporation Shoping Complex, Dr, Nanjappa Road, Coimbatore - 641018",12/Nov/2025,CB/1493/25-26,82051000,Tap Wrench,"1/2""",RR,Nos,445,18%,525,,
